User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Robert Grantner,@RobertGrantner,2021-05-12T18:52:23.000Z,"Rund 100 Milliarden Euro werden jedes Jahr in D gewaschen. Für 
@ZDFzoom
 bin ich der Frage nachgegangen warum Deutschland noch immer ein Paradies für #Geldwäsche(r) ist https://t1p.de/x1gg mit 
@LauraGaravini
 @fiedelseb
 @HerbrandMarkus
 @ctrautvetter
 leider ohne 
@OlafScholz
 ...Geldwäsche-Paradies Deutschland
Deutschland ist ein Paradies für Geldwäscher. Rund 100 Milliarden schmutzige Euro werden schätzungsweise jedes Jahr hier gewaschen.
zdf.de",6,12,21
Markus Herbrand,@HerbrandMarkus,2021-05-12T13:00:34.000Z,"Das dt. System der #Geldwäsche-Bekämpfung ist ein zahnloser Tiger. Immer wieder habe ich auf die Schwachstellen der #FIU verwiesen, die dem Auftrag als einst proklamiertes dt. ""FBI"" nicht gerecht wird. Vollkommen richtig, 
@Buckenhofer
 ""politische Kosmetik"" reicht nicht! 
@gdp_zollZDF
@ZDF
 · May 12
Deutschland ist ein Paradies für Geldwäscher. Rund 100 Milliarden schmutzige Euro werden schätzungsweise jedes Jahr hier gewaschen.

#ZDFzoom ging der Frage nach, warum das so ist. Einer der Gründe: Es gibt keine Bargeld-Obergrenze. Alles kann cash bezahlt werden.
Show this thread",,,5
Markus Herbrand,@HerbrandMarkus,2021-05-12T08:09:54.000Z," ist #Geldwäsche-Eldorado: ca. 100 Mrd. € werden pro Jahr gewaschen & dem dt. Rechtsstaat sind oftmals die Hände gebunden. ""Die Gangster lachen sich doch kaputt"", so Markus Herbrand in der heute ausgestrahlten Doku ""Geldwäsche-Paradies Deutschland"" (TH)Geldwäsche-Paradies Deutschland
Deutschland ist ein Paradies für Geldwäscher. Rund 100 Milliarden schmutzige Euro werden schätzungsweise jedes Jahr hier gewaschen.
zdf.de",4,7,28
Markus Herbrand,@HerbrandMarkus,2021-05-08T20:26:58.000Z,"Selten habe ich von der 
@die_regierung
 eine so entwaffnend ehrliche Antwort erhaltenJanine v. Wolfersdorff
@wolfersdorff
 · May 8
Aus der Antwort der Bundesregierung auf Kleine Anfrage von @fdpbt @HerbrandMarkus: Deutschland zählt auf allen drei staatlichen Ebenen zur Gruppe der EU-Länder, deren IT und Rechnungswesen am wenigsten entwickelt sind. twitter.com/maikom76/statu…
Show this thread",1,,2
Janine v. Wolfersdorff,@wolfersdorff,2021-05-07T15:43:54.000Z,"Toller Artikel heute in 
@wiwo
. Auch zu Kleiner Anfrage von 
@fdpbt
 zur Rolle des Steuerrechts beim Klimaschutz. 
@BMF_Bund
 schreibt, dass die BReg mit ihren steuerlichen Maßnahmen die Herausforderungen der CO2-Reduktion entschlossen angehe. 
- Nein. Das tut sie natürlich nicht!Markus Herbrand and 2 others",,3,6
"Hagen Reinhold, MdB",@reinholdmdb,2021-04-26T16:03:45.000Z,"Es ist vollbracht: Die FDP und mehrere Bundestagsabgeordnete haben beim Bundesverfassungsgericht Klage gegen das geänderte Infektionsschutzgesetz eingereicht.FDP und mehrere Abgeordnete klagen gegen ""Bundesnotbremse""
Die FDP und mehrere Bundestagsabgeordnete haben beim Bundesverfassungsgericht Klage gegen das geänderte Infektionsschutzgesetz eingereicht. Insgesamt sind mehr als 65 Verfahren anhängig - und es...
tagesschau.de",10,20,214
Markus Herbrand,@HerbrandMarkus,2021-04-26T17:27:02.000Z,"Zum Nachschauen geht's hier lang: https://youtu.be/6ZUHCmZonrk
/THBlackbox Finanzwissen – Neue Wege zum Vermögensaufbau
Seitdem die Europäische Zentralbank die Zinsen niedrig hält, fällt es Sparerinnen und Sparern immer schwerer, ihr Geld sicher und gewinnbringend anzulegen. W...
youtube.com",,1,2
Markus Herbrand,@HerbrandMarkus,2021-04-26T17:22:32.000Z,"Vielen Dank für die Teilnahme an ""Blackbox Finanzwissen - Neue Wege zum #Vermögensaufbau"" & der Diskussion über #Finanzreform, ökonom. Bildung & Erleichterung bei der Vorsorge/Geldanlage mit Yvonne Gebauer 
@BildungslandNRW
@WefersAngela
 @nbrandt_eco
 
@burkhardbalz
 @JCSSulilatu",1,3,7
Markus Herbrand,@HerbrandMarkus,2021-04-26T08:34:40.000Z,"So viel zum Thema ""Einzelfälle"": Meine Nachfrage an das Bundesfinanzministerium ergab, dass bereits 142.000 #Rentner wegen des Verdachts der #Doppelsteuerung Widerspruch eingelegt haben. Dass das BMF gerne ""Pi mal Daumen"" arbeitet, kommt ja nicht zum ersten Mal vor...BILD
@BILD
 · Apr 25
Vom Finanzamt abgezockt? - 142 000 Rentner wehren sich gegen Doppelbesteuerung https://bild.de/geld/wirtschaft/wirtschaft/vom-finanzamt-abgezockt-142-000-rentner-wehren-sich-gegen-doppelbesteuerung-76192458.bild.html…",,3,9
Fraktion der Freien Demokraten,@fdpbt,2021-04-26T07:35:58.000Z,"Wie geht #Vermögensaufbau und #Altersvorsorge in Zeiten von Niedrigzinsen und komplizierten Regelungen im Finanz- und #Steuerrecht? Um 16:00 spricht 
@HerbrandMarkus
 mit Experten über #Finanzreformen und die Vermittlung ökonomischer #Bildung: https://youtu.be/6ZUHCmZonrk",3,6,33
