User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BBK,@BBK_Bund,2021-05-27T08:09:00.000Z,"#BBKForschung: 

Grundlagen der Nutzung #Sozialer #Medien in #Krisen & #Katastrophen: Wie werden welche Medien mit welchem Ziel genutzt & mit welcher Motivation? Reichen Sie Ihre Idee bis zum 21.6. ein! ^jk

https://bbk.bund.de/SharedDocs/Downloads/BBK/DE/Forschung/Forschungsbekanntmachung1_2021.html…",,20,26
BBK,@BBK_Bund,2021-05-20T08:30:00.000Z,"Premiere: Das Team vom #Zivilschutz-Hubschrauber Christoph 3 richtet mit dem Hems Day Cologne den 1. interaktiven Tag der #Luftrettung aus. Beim virtuellen Event sind wir 
@BBK_Bund
 auch dabei. 

Anmelden für den 5. Juni: https://hems-day.de
@ADACLuftrettung
 @Feuerwehr_Koeln",,14,46
BBK,@BBK_Bund,2021-05-19T13:02:58.000Z,"Auch unsere #Neuausrichtung, erste Lehren aus der Corona-Pandemie & das Gemeinsame #Kompetenzzentrum #Bevölkerungsschutz waren Thema. ^am
#8punkte #durchstarten

Zum Podcast :Der Audio-Podcast der Bundesregierung.
bundesregierung.de",1,5,13
Thomas Heilmann #NEUSTAAT,@ThomasHeilmann,2021-05-17T10:37:06.000Z,"@rbrinkhaus
 fordert den #NEUSTAAT.
Zu viele Zuständigkeiten, zu wenig Tempo: Die #Coronakrise hat offengelegt, wo es hakt. 
Wir wollen unseren #Wohlstand erhalten, also müssen wir unseren Staat radikal reformieren. Die Chance ist jetzt. Wir brauchen einen „Neustaat“, damit das Gute bleibt
Zu viele Zuständigkeiten, zu wenig Tempo: Die Coronakrise hat klar gemacht, wo es hakt. Wir müssen den Staat modernisieren – jetzt. Ein Gastbeitrag.
tagesspiegel.de",14,10,17
Markus Richter,@cio_bund,2021-05-18T04:30:04.000Z,"Sehr intuitive Lösung: Einchecken per QR-Code mit der #CoronaWarnApp Steffen Seibert
@RegSprecher
Regierungsvertreter*in aus Deutschland
 · May 13
Seit dem Update auf Version 2.0 besitzt die #CoronaWarnApp die Funktion zur Eventregistrierung. Damit lässt sich künftig in Gastronomie, Einzelhandel oder bei Veranstaltungen per QR-Code einchecken. #IchAppMit http://bpaq.de/cwa-update So funktioniert's:",3,9,35
BBK,@BBK_Bund,2021-05-11T05:30:00.000Z,"Rechtzeitig Erkenntnisse aus der Corona-Pandemie für künftige Krisen ziehen - 
@armin_schuster
via 
@faznet
 #Krisenmanagement #Kompetenzzentrum #Bevölkerungsschutz #COVID19

https://zeitung.faz.net/faz/politik/2021-05-10/411b1a18bb0d13cfdbdb3052d176fec2/?GEPC=s5… ^ds",1,11,34
BBK,@BBK_Bund,2021-05-10T13:40:22.000Z,"Was können wir aus der Corona-Krise lernen? 
@armin_schuster
 
via 
@faznet
 #Krisenmanagement #Lagebild #Auswertung #COVID19

https://zeitung.faz.net/faz/politik/2021-05-10/411b1a18bb0d13cfdbdb3052d176fec2/?GEPC=s5… ^ds",4,12,35
Armin Schuster,@armin_schuster,2021-05-10T11:42:13.000Z,"Wenn das gestrige unbeschwerte Genießen eines Traumtages Schule macht im Umgang mit den Regeln, setzen wir vielleicht einen ganzen Sommer aufs Spiel!""Kein Übermut aus Zuversicht"": Spahn warnt vor Wettbewerb beim Öffnen
Für immer mehr deutsche Regionen deutet sich ein Ende der Bundes-Notbremse an. Gesundheitsminister Spahn mahnt die Länder allerdings zu Zurückhaltung bei Öffnungsschritten. Insbesondere beim Thema...
n-tv.de",1,,3
Helge Braun,@HBraun,2021-05-08T21:21:30.000Z,"Die Verträglichkeit und Nebenwirkungen der #COVIDー19 Impfstoffe zu erfassen, ist jetzt wichtig. Deshalb: Wer geimpft ist, sollte die SaveVac-#App des Paul-Ehrlich-Institutes 
@PEI_Germany
 laden und melden, wie gut der Impfstoff vertragen wurde. https://pei.de/DE/newsroom/hp-meldungen/2020/201222-safevac-app-smartphone-befragung-vertraeglichkeit-covid-19-impfstoffe.html…",77,126,278
Armin Schuster,@armin_schuster,2021-05-08T17:02:37.000Z,"Und wir #bbk sind überaus dankbar für die neue intensive Kooperation!BBK
@BBK_Bund
 · May 8
Heute feiert @roteskreuz_de #100JahreDRK!

Wir gratulieren allen Haupt- und Ehrenamtlichen & bedanken uns für die großartige Arbeit, die Sie jeden Tag leisten! ^am

Mehr dazu: https://drk.de/das-drk/geschichte/100-jahre-drk/…

#gemeinsamstark #bevölkerungsschutz #danke",,,16
Armin Schuster,@armin_schuster,2021-05-07T20:14:59.000Z,"Wenn mich einer motivieren könnte Politik zu studieren, dann ganz sicher Prof. Karl-Rudolf Korte. #heutejournal",3,2,30
