User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Sven Lehmann MdB,@svenlehmann,2021-05-17T07:38:06.000Z,"Oft höre ich Sätze wie: ""Naja, wenn ihr nicht so auffällig wärt, wenn ihr etwas normaler wärt, dann würde es sicher vielen leichter fallen, euch zu akzeptieren.""

Dazu ein klares NEIN! 

Die, die diskriminieren, müssen sich ändern. Nicht die, die diskriminiert werden.

#IDAHOBIT",25,259,1.7K
Sven Lehmann MdB,@svenlehmann,2021-05-29T10:20:01.000Z,"Danke liebe 
@Buergerverein_R
 für den engagierten und sehr informativen Austausch! Rodenkirchen
@Buergerverein_R
 · 35m
Danke an Dr. Traude Castor-Cursiefen, Fraktionsvorsitzende der Grünen in der BV #Rodenkirchen und MdB @svenlehmann für ihre engagierte Teilnahme am digitalen Bürgertreff der Bürgervereinigung Rodenkirchen. Jeder Stadtteil in #Koeln-Süd muss für alle ein lebenswertes Veedel werden",,,1
hannes,@LinssenHannes,2021-05-28T09:31:47.000Z,"Köln hat nich nur Radwege, Köln hat jetzt auch Gänsewege. ",103,455,5.4K
Sven Lehmann MdB,@svenlehmann,2021-05-28T19:59:22.000Z,"Ich habe gerade von einem Fall erfahren, wo ein Jobcenter - um eine Stromsperre bei einer Familie abzuwenden - die Menschen zur örtlichen Kirchengemeinde geschickt hat, die dann wiederum deren Stromschulden bezahlt hat. 

Ich finde das rührend und politisch bitter gleichermaßen.",27,45,415
Sven Kindler,@sven_kindler,2021-05-28T08:41:29.000Z,"Meine Anfrage zeigt 

Seit Andreas #Scheuer Verkehrsminister ist, sind alleine  für den Straßenbau 130 Mio. Euro in seinen Wahlkreis gegangen. Eine massive Steigerung gegenüber den Jahren zuvor. Mit dieser #CSU-Selbstbedienung im Verkehrsministerium muss endlich Schluss sein!Andreas Scheuer and 9 others",39,245,1K
Sozialverband VdK,@VdK_Deutschland,2021-05-28T08:00:30.000Z,"Wie lässt sich #Armut stoppen? Mit 
@svenlehmann
 spricht VdK-Präsidentin Verena Bentele über eine Kindergrundsicherung, die Idee einer Garantierente und warum Hartz IV ausgedient hat. 

 Jetzt reinhören: https://vdk.de/permalink/82321",1,8,15
DER SPIEGEL,@derspiegel,2021-05-22T10:52:11.000Z,"Die #Union gibt sich seit Neuestem LSBTI*-freundlich. Doch ihre Haltung in der Debatte über das Transsexuellengesetz zeigt: Die Toleranz ist nur Fassade. Ein Kommentar von 
@die_gabe
.Transsexuellengesetz: Farbe bekennen geht anders - Kommentar
Die Union gibt sich seit Neuestem LSBTI*-freundlich. Doch ihre Haltung in der Debatte über das Transsexuellengesetz zeigt: Die Toleranz ist nur Fassade.
spiegel.de",20,82,246
Ulle Schauws,@ulle_schauws,2021-05-23T09:28:06.000Z,"Weil das #Abstammungsrecht Kindern die rechtliche Absicherung durch zwei Elternteile in Regenbogenfamilien versagt, muss es reformiert werden. Wir 
@GrueneBundestag
 bleiben dran, denn alle Kinder sind gleich viel wert #PaulahatzweiMamas #nodoption 
@freiheitsrechte
 @justglitzand.Aktuell
@ndaktuell
 · May 23
Wenn eine verheiratete Frau ein Kind gebärt, wird ein Ehemann automatisch zum Vater. Eine Ehefrau oder nicht-binäre Person muss das Kind adoptieren. Die Grünen-Politikerin @ulle_schauws will das #Abstammungsrecht reformieren. #PaulaHatZweiMamas https://dasND.de/1152307",4,32,145
tagesschau,@tagesschau,2021-05-21T13:18:05.000Z,"Bundestag erleichtert Gründung von Betriebsräten http://tagesschau.de/wirtschaft/unternehmen/mitbestimmung-betriebsraete-gesetz-modernisierung-101.html… #Betriebsräte #Gesetzesreform #MitbestimmungBundestag erleichtert Gründung von Betriebsräten
Arbeitnehmer und Arbeitnehmerinnen können künftig leichter einen Betriebsrat gründen. Auch dessen Wahl wird durch das Gesetz erleichtert, das der Bundestag mit den Stimmen von Union, SPD und Grünen...
tagesschau.de",7,50,250
Sven Lehmann MdB,@svenlehmann,2021-05-22T07:19:51.000Z,"Es mehren sich die Stimmen, die die Diskriminierung bei der #Blutspende endlich beenden wollen. Gut so! Anträge von Grünen und FDP liegen dazu im #Bundestag vor. Können wir gerne noch im Juni beschließen, wenn es 
@cducsubt
 ernst meinen.Blutspende: CSU-Politiker will Diskriminierung beenden
Nicht die sexuelle Orientierung, sondern ""individuelles Risikoverhalten"" soll bei allen Spendenden ausschlaggebend sein, fordert der Arzt und CSU-Gesundheitspolitiker Stephan Pilsinger. (Politik -...
queer.de",12,19,214
Grüne im Bundestag,@GrueneBundestag,2021-05-21T13:47:58.000Z,"Die sexuelle Identität muss ins Grundgesetz. 

Lassen Sie uns mit dieser Verfassungsergänzung eine Signalwirkung in unsere Gesellschaft geben:

Dass jeder queere Mensch vom Staat gesehen und geschützt wird – egal, wie er lebt und liebt.

– 
@ulle_schauws",32,19,118
Sven Lehmann MdB,@svenlehmann,2021-05-21T11:45:43.000Z,"Der Mordanschlag auf ein schwules Paar in #Dresden ist seit heute verurteilt: lebenslange Haft für den Täter. 

Das Urteil hat Signalwirkung. Denn Homofeindlichkeit als Tatmotiv ist besonders hervorgehoben.

Presse-Erklärung mit 
@ulle_schauws
 Urteil mit Signalwirkung im Mordfall Dresden
Der Messerangriff auf ein schwules Paar letztes Jahr in Dresden, bei dem ein Mann getötet und der andere verletzt wurde, hat uns zutiefst erschüttert. Umso wichtiger ist es, dass der Täter des...
gruene-bundestag.de",4,20,103
Grüne im Bundestag,@GrueneBundestag,2021-05-21T10:20:00.000Z,"Queeren Menschen den verfassungsrechtlichen Schutz zu verweigern, ist angesichts der deutschen Geschichte verantwortungslos. 

Obwohl Union & SPD die Debatte verhindern wollten, holen wir sie trotzdem ins Parlament.

Live ab 14.45 Uhr auf  http://bundestag.de.Ulle Schauws  and Sven Lehmann MdB",8,32,141
Für Menschenrechte,@DIMR_Berlin,2021-05-20T08:44:23.000Z,"Armut hindert Menschen an der Wahrnehmung ihrer Rechte, wie der Rechte auf angemessenen Lebensstandard, auf Wohnen, auf Gesundheit, auf Teilhabe, auf Arbeit oder Bildung.

Armutsbekämpfung ist eine menschenrechtliche Pflicht des Staates.",5,88,235
Julia Monro,@julia__monro,2021-05-21T07:03:06.000Z,"Heute wird im 
@bundestag
 über Artikel 3 GG debattiert. #grundgesetzfueralleDeutscher Bundestag - Debatte über Stand der Beratungen zur „sexuellen Identität“
Der Bundestag hat am Freitag, 21. Mai 2021, über das Thema „Sexuelle Identität“ debattiert. Anlass der Aussprache war ein Bericht nach Paragraf 62 Absatz 2 der Geschäftsordnung des...
bundestag.de",5,20,68
Ulrich Schulte,@UlrichSchulte,2021-05-21T06:00:54.000Z,"Die Hessen wollen mit Geheimhaltung den Staat schützen. Interessant der Perspektivwechsel von 
@KonstantinNotz
:  „Bei einem so gravierenden Fall wie dem NSU-Komplex muss man sich fragen, ob dem Staatswohl mit Transparenz nicht mehr gedient wäre als mit Intransparenz.“ #NSUAkten",8,19,167
QueerBw,@QueerBw,2021-05-20T18:31:15.000Z,"Der Deutsche Bundestag hat heute ein Rehabilitierungsgesetz für queere Soldat*innen beschlossen. Es legt den Grundstein für die Aufarbeitung. Nun müssen weitere Verbesserungen folgen. Danke an alle Beteiligten!
@JBrandenburgFDP
 @svenlehmann
 @MatthiasHoehn
 @BrunnerGanzOhr
 @akk",,16,76
Sven Lehmann MdB,@svenlehmann,2021-05-20T08:05:51.000Z,"Hier ist aufgeführt, wie die einzelnen Abgeordneten abgestimmt haben: https://bundestag.de/parlament/plenum/abstimmung/abstimmung?id=738…

#Selbstbestimmungsgesetz
#TSGabschaffenDeutscher Bundestag - Namentliche Abstimmungen
bundestag.de",12,40,129
Sven Lehmann MdB,@svenlehmann,2021-05-20T06:27:15.000Z,"So hat der Bundestag gestern Abend zum grünen #Selbstbestimmungsgesetz abgestimmt. Bitter für die Menschenrechte.

Für uns aber bleibt es dabei: #TSGabschaffen - jetzt erst recht und mit neuem Anlauf nach der Bundestagswahl! 

#TransRightsAreHumanRights Grüne im Bundestag ",100,553,1.5K
Sven Lehmann MdB,@svenlehmann,2021-05-19T16:24:45.000Z,"Was darf Satire? SPD-Fraktion im Bundestag
@spdbt
 · May 19
""Transsexualität ist keine Krankheit. Deshalb muss das #TSG weg"", sagt @BrunnerGanzOhr klar. Doch die Union sperrt sich dagegen und die Vorschläge von Grünen und FDP reichen uns nicht. Ein schlechtes Gesetz durch ein nicht besonders gutes zu ersetzen, ist für uns auch kein Weg.
Show this thread",8,41,349
